lcd_id,lcd_version,hcpc_code_group,"paragraph",last_updated
33797,28,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p><br />EY &ndash; No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability (expected to be denied as not reasonable and necessary, ABN on file)</p>
<p>GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefit</p>
<p>GZ - Item or service not reasonable and necessary (expected to be denied as not reasonable and necessary, no ABN on file)</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>Q0 (Q-zero) - Investigational clinical service provided in a clinical research study that is in an approved clinical research study</p>
<p>QA - Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is less than 1 liter per minute (LPM)</p>
<p>QB - Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts exceeds 4 liters per minute (LPM) and portable oxygen is prescribed</p>
<p>QE - Prescribed amount of stationary oxygen while at rest is less than 1 liter per minute (LPM)</p>
<p>QF - Prescribed amount of stationary oxygen while at rest exceeds 4 liters per minute (LPM) and portable oxygen is prescribed</p>
<p>QG - Prescribed amount of stationary oxygen while at rest is greater than 4 liters per minute (LPM)&nbsp;</p>
<p>QH - Oxygen conserving device is being used with an oxygen delivery system</p>
<p>QR - Prescribed amounts of stationary oxygen for daytime use while at rest and nighttime use differ and the average of the two amounts is greater than 4 liters per minute (LPM)</p>
<p>RA - Replacement of a DME item</p>
<p><br /><strong>HCPCS CODES:</strong></p>
<p>&nbsp;</p>
<p><strong>EQUIPMENT:</strong></p>",2020-06-12 15:28:40.370000000
33797,28,2,"<b>ACCESSORIES:</b>",2020-06-12 15:28:40.397000000
33799,15,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><P><b>HCPCS MODIFIERS:</b></P><br /><P>EY   No physician or other licensed health care provider order for this item or service</P><br /><P>GA   Waiver of liability statement issued as required by payer policy, individual case</P><br /><P>GZ   Item or service expected to be denied as not reasonable and necessary</P><br /><P>KX - Requirements specified in the medical policy have been met</P><br /><br /><P><b>HCPCS CODES:</b></P><br />",2020-02-14 17:00:49.947000000
33800,26,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS CODES:</strong></p>
<p>EQUIPMENT</p>",2021-06-18 16:38:26.080000000
33800,26,2,"<p>ACCESSORIES</p>",2021-06-18 16:38:26.087000000
33801,22,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIER:</b><br /><br />EY - No physician or other licensed health care provider order for this item or service.<br /><br /><b>HCPCS CODES:</b><br />",2020-02-21 17:14:31.510000000
33802,32,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS CODES:</strong></p>
<p><strong>EQUIPMENT</strong></p>",2021-10-01 14:36:00.990000000
33802,32,2,"<b>SUPPLIES</b>",2021-10-01 14:36:01.047000000
33803,39,1,"<p>The appearance of a code in this section does not necessarily indicate coverage. <br /><br /></p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>AU &ndash; Item furnished in conjunction with a urological, ostomy, or tracheostomy supply</p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA &ndash; Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefit</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS CODES</strong></p>",2021-04-22 14:02:58.200000000
33820,21,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIERS:</b><br /><br />EY - No physician or other licensed health care provider order for this item or service<br /><br />GA – Waiver of liability statement issued as required by payer policy, individual case<br /><br />GK - Reasonable and necessary item/service associated with a GA or GZ modifier<br /><br />GL - Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no ABN  <br /><br />GZ – Item or service expected to be denied as not reasonable and necessary<br /><br />KX - Requirements specified in the medical policy have been met<br /><br /><b>HCPCS CODES:</b><br /><br />FIXED HEIGHT BEDS:",2020-02-12 16:20:14.237000000
33820,21,2,"VARIABLE HEIGHT BEDS<br />",2020-02-12 16:20:14.247000000
33820,21,3,"SEMI-ELECTRIC BEDS<br />",2020-02-12 16:20:14.257000000
33820,21,4,"TOTAL ELECTRIC BEDS<br />",2020-02-12 16:20:14.267000000
33820,21,5,"HEAVY DUTY BEDS<br />",2020-02-12 16:20:14.273000000
33820,21,6,"ACCESSORIES<br />",2020-02-12 16:20:14.283000000
33820,21,7,"MISCELLANEOUS<br />",2020-02-12 16:20:14.300000000
33821,25,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIER:</b><br /><br />EY - No physician or other health care provider order for this item or service<br /><br />GA - Waiver of liability statement issued as required by payer policy, individual case<br /><br />GZ - Item or service expected to be denied as not reasonable and necessary<br /><br />KX - Requirements specified in the medical policy have been met<br /><br /><b>HCPCS CODES:</b><br /><br />EQUIPMENT",2021-03-11 20:09:09.417000000
33821,25,2,"SUPPLIES",2021-03-11 20:09:09.420000000
33822,31,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS<br /></strong></p>
<p>CG &ndash; Policy criteria applied</p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>KF &ndash; Item designated by FDA as Class III device</p>
<p>KS - Glucose monitor supply for diabetic beneficiary not treated by insulin</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS </strong></p>
<p><strong>EQUIPMENT&nbsp;</strong></p>",2021-05-26 21:58:52
33822,31,2,"<p><strong>ACCESSORIES/SUPPLIES</strong></p>",2021-05-26 21:58:52.013000000
33823,26,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><strong>HCPCS MODIFIERS:</strong><br /><br />EY - No physician or other health care provider order for this item or service<br />GA &ndash; Waiver of liability statement issued as required by payer policy, individual case<br />GZ &ndash; Item or service expected to be denied as not reasonable and necessary<br />KX - Requirements specified in the medical policy have been met<br /><br /><strong>HCPCS CODES:</strong></p>",2020-01-30 22:41:43.550000000
33824,29,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIERS:</b><br /><br />EY - No physician or other licensed health care provider order for this item or service<br />GY – Item or service statutorily excluded or does not meet the definition of any Medicare benefit<br />KX - Requirements specified in the medical policy have been met<br /><br /><b>HCPCS CODES:</b><br />",2020-01-30 22:43:01.817000000
33825,17,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIER:</b> <br /><br />EY - No physician or other licensed health care provider order for this item or service<br /><br /><b>EQUIPMENT:</b><br />",2020-02-07 17:06:36.467000000
33825,17,2,"<b>ACCESSORIES:</b><br />",2020-02-07 17:06:36.470000000
33826,18,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIER:</b><br /><br />EY - No physician or other licensed health care provider order for this item or service<br /><br /><b>NATIONAL DRUG CODES (NDC):</b><br /><br />The National Drug Code (NDC) is a number which uniquely identifies a manufacturer's product in terms of the strength of each tablet/capsule, quantity of tablets/capsules in a package and other packaging details.  Suppliers must use the NDC that matches the product dispensed.<br /><br />The oral anticancer drugs that are addressed in this policy are:<br /><br />Busulfan<br />Capecitabine<br />Cyclophosphamide<br />Etoposide<br />Fludarabine phosphate<br />Melphalan<br />Methotrexate<br />Temozolomide<br />Topotecan<br /><br /><b>HCPCS CODES:</b>",2020-02-07 17:09:15.933000000
33827,45,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIERS:</b><br /><br />EY - No physician or other licensed health care provider order for this item or service<br />GA – Waiver of liability statement issued as required by payer policy, individual case<br />GZ – Item or service expected to be denied as not reasonable and necessary<br />KX - Requirements specified in the medical policy have been met<br /><br /><b>HCPCS Codes</b><br /><br />",2020-02-07 17:12:17.113000000
33828,25,1,"<p><strong>The appearance of a code in this section does not necessarily indicate coverage.</strong><br /><br />HCPCS MODIFIERS:<br /><br />AU - Item furnished in conjunction with a urological, ostomy or tracheostomy supply.<br />EY - No physician or other licensed health care provider order for this item or service.<br /><br />HCPCS CODES:</p>",2021-12-20 15:15:03.920000000
33829,42,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIER:</b><br /><br />EY - No physician or other health care provider order for this item or service.<br /><br /><b>HCPCS CODES:</b>",2020-02-14 16:00:13.360000000
33830,22,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIERS:</b><br /><br />EY – No physician or other licensed health care provider order for this item or service<br /><br />GA – Waiver of liability statement issued as required by payer policy, individual case<br /><br />GZ – Item or service expected to be denied as not reasonable and necessary<br /><br />KX - Requirements specified in the medical policy have been met<br /><br /><b>HCPCS CODES:</b><br />",2021-03-12 14:26:36.147000000
33831,35,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p>HCPCS MODIFIERS:</p>
<p>A1 &ndash; Dressing for one wound<br />A2 &ndash; Dressing for two wounds<br />A3 &ndash; Dressing for three wounds<br />A4 &ndash; Dressing for four wounds<br />A5 &ndash; Dressing for five wounds<br />A6 &ndash; Dressing for six wounds<br />A7 &ndash; Dressing for seven wounds<br />A8 &ndash; Dressing for eight wounds<br />A9 &ndash; Dressing for nine or more wounds<br />AW &ndash; Item furnished in conjunction with a surgical dressing<br />EY &ndash; No physician or other licensed health care provider order for this item or service<br />GY - Item or service statutorily noncovered or does not meet the definition of any Medicare benefit<br />LT - Left side<br />RT - Right side</p>
<p>HCPCS CODES:</p>",2021-03-12 14:27:51.813000000
33832,16,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br />HCPCS MODIFIERS:<br /><br />AU - Item furnished in conjunction with a urological, ostomy or tracheostomy supply. <br /><br />EY - No physician or other licensed health care provider order for this item or service. <br /><br />HCPCS CODES:</p>",2020-02-21 16:56:03.970000000
34821,21,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><P><b>HCPCS MODIFIERS:</b></P><br /><br /><P>EY – No physician or other health care provider order for this item or service</P><br /><br /><P><b>HCPCS CODES:</b></P><br /><br /><b>EQUIPMENT:</b>",2020-02-21 19:19:45.317000000
34821,21,2,"<b>SUPPLIES:</b>",2020-02-21 19:19:45.320000000
34823,27,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><strong>HCPCS MODIFIERS:</strong><br /><br />EY - No physician or other licensed health care provider order for this item or service<br /> <br />GA - Waiver of liability statement issued as required by payer policy, individual case<br /> <br />GZ - Item or service expected to be denied as not reasonable and necessary<br /> <br />KF - Item designated by FDA as Class&nbsp;III device<br /> <br />KX - Requirements specified in the medical policy have been met</p>
<p><br /><strong>HCPCS CODES:</strong></p>
<p>&nbsp;</p>",2020-02-21 14:37:49
34824,21,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:<br /></strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p><strong>HCPCS CODES: <br /></strong></p>
<p>EQUIPMENT:</p>",2020-02-13 15:27:44.007000000
34824,21,2,"<p><strong>SUPPLIES</strong></p>",2020-02-13 15:27:44.007000000
36267,36,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS: <br /></strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p><strong>HCPCS CODES: </strong></p>",2021-12-20 15:51:51.257000000
38897,8,1,"<p>The appearance of a code in this section does not necessarily indicate coverage. <br /><br /></p>
<p><strong>HCPCS MODIFIERS:</strong><br /><br /></p>
<p>EY &ndash; No physician or other licensed health care provider order for this item or service<br /><br /></p>
<p>GA &ndash; Waiver of liability statement issued as required by payer policy, individual case</p>
<p>&nbsp;</p>
<p>GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefit</p>
<p>&nbsp;</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>&nbsp;</p>
<p>JB - Administered Subcutaneously</p>
<p>&nbsp;</p>
<p>JW - Drug amount discarded/not administered to any patient<br /><br /></p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>&nbsp;</p>
<p><strong>HCPCS CODES:</strong></p>
<p><br /><br /></p>
<p><strong>EQUIPMENT</strong></p>",2020-12-11 14:35:17.620000000
38897,8,2,"<p>SUPPLIES</p>",2020-12-11 14:35:17.733000000
38897,8,3,"<p>DRUGS</p>
<p>&nbsp;</p>",2020-12-11 14:35:17.757000000
38900,8,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS<br /></strong></p>
<p>CG &ndash; Policy criteria applied</p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>KF &ndash; Item designated by FDA as Class III device</p>
<p>KS - Glucose monitor supply for diabetic beneficiary not treated by insulin</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS </strong></p>
<p><strong>EQUIPMENT&nbsp;</strong></p>",2020-12-10 19:29:42.517000000
38900,8,2,"<p><strong>ACCESSORIES/SUPPLIES</strong></p>",2020-12-10 19:29:42.517000000
38949,7,1,"<p>The appearance of a code in this section does not necessarily indicate coverage. <br /><br /><strong>HCPCS MODIFIERS:</strong><br />EY - No physician or other licensed health care provider order for this item or service<br />GA - Waiver of liability statement issued as required by payer policy, individual case<br />GZ - Item or service expected to be denied as not reasonable and necessary<br />KX - Requirements specified in the medical policy have been met<br /><br /><strong>HCPCS CODES:</strong><br /><br /><strong>EQUIPMENT:</strong></p>",2021-02-18 13:13:03.637000000
38949,7,2,"<b>ACCESSORIES</b><br />",2021-02-18 13:13:03.757000000
38950,8,1,"<p>The appearance of a code in this section does not necessarily indicate coverage. <br /><br /></p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability statement issued, as required by payer policy</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>KX -Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS CODES:</strong></p>",2021-02-19 15:46:26.253000000
38951,8,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><P><b>HCPCS MODIFIERS:</b></P><br /><P>EY - No physician or other licensed health care provider order for this item or service</P><br /><P>GA   Waiver of liability statement issued as required by payer policy, individual case</P><br /><P>GZ - Item or service expected to be denied as not reasonable and necessary</P><br /><P>KX - Requirements specified in the medical policy have been met</P> <br /><P><b>HCPCS CODES:</b></P><br /><br />EQUIPMENT",2021-02-19 15:33:45.920000000
38951,8,2,"ACCESSORIES",2021-02-19 15:33:45.927000000
38952,9,1,"<p style=""line-height: 14.4pt; background: white;"">The appearance of a code in this section does not necessarily indicate coverage.</p>
<p style=""line-height: 14.4pt; background: white;""><strong>HCPCS MODIFIERS:</strong></p>
<p style=""line-height: 14.4pt; background: white;"">BA &ndash; Item used in conjunction with parenteral enteral nutrition (PEN) services</p>
<p style=""line-height: 14.4pt; background: white;"">EY &ndash; No physician or other health care provider order for this item or service</p>
<p><strong>HCPCS CODES:</strong></p>",2021-02-19 16:31:31.983000000
38953,4,1,"<p style=""line-height: 14.4pt; background: white;"">The appearance of a code in this section does not necessarily indicate coverage.</p>
<p style=""line-height: 14.4pt; background: white;""><strong>HCPCS MODIFIERS:</strong></p>
<p style=""line-height: 14.4pt; background: white;"">BA &ndash; Item used in conjunction with parenteral enteral nutrition (PEN) services</p>
<p style=""line-height: 14.4pt; background: white;"">EY &ndash; No physician or other health care provider order for this item or service</p>
<p><strong>HCPCS CODES:</strong></p>",2021-07-15 20:11:12.727000000
38954,10,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>BA &ndash; Item furnished in conjunction with parenteral enteral nutrition (PEN) services</p>
<p>BO &ndash; Orally administered nutrition, not by feeding tube</p>
<p>EY &ndash; No physician or other licensed health care provider order for this item or service</p>",2021-02-19 14:46:13.140000000
38955,5,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>BA &ndash; Item furnished in conjunction with parenteral enteral nutrition (PEN) services</p>
<p>BO &ndash; Orally administered nutrition, not by feeding tube</p>
<p>EY &ndash; No physician or other licensed health care provider order for this item or service</p>",2021-07-16 16:53:53.670000000
39169,7,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIER:</b><br /><br />EY - No physician or other health care provider order for this item or service.<br /><br /><b>HCPCS CODES:</b>",2021-09-23 20:33:20.127000000
39170,11,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:<br /></strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>JW - Drug amount discarded/not administered to any patient</p>
<p>KO - Single drug unit dose formulation</p>
<p>KP - First drug of a multiple drug unit dose formulation</p>
<p>KQ - Second or subsequent drug of a multiple drug unit dose formulation</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>&nbsp;</p>
<p><strong>HCPCS CODES:</strong></p>
<p>&nbsp;</p>
<p><strong>EQUIPMENT</strong></p>",2021-09-24 18:09:13.590000000
39170,11,2,"<p><strong>ACCESSORIES</strong></p>",2021-09-24 18:09:13.600000000
39170,11,3,"<p><strong>INHALATION DRUGS AND SOLUTIONS</strong></p>",2021-09-24 18:09:13.623000000
